airport,year,month,date,domestic_regional_passengers_month,international_passengers_month,total_passengers_month,domestic_regional_movements_month,international_movements_month,total_movements_month,domestic_regional_passengers_year_ended,international_passengers_year_ended,total_passengers_year_ended
ADELAIDE,2025,11,2025-11-01,662688,102479,765167,5813,589,6402,7448802,1137300,8586102
BALLINA,2025,11,2025-11-01,50147,0,50147,344,0,344,583170,0,583170
BRISBANE,2025,11,2025-11-01,1518803,595511,2114314,13455,3058,16513,17511866,6872465,24384331
CAIRNS,2025,11,2025-11-01,312916,52297,365213,3287,344,3631,4033973,683460,4717433
CANBERRA,2025,11,2025-11-01,253738,1973,255711,3215,20,3235,2768466,32305,2800771
DARWIN,2025,11,2025-11-01,114294,21794,136088,1686,242,1928,1659756,272663,1932419
GOLD COAST,2025,11,2025-11-01,467662,55173,522835,2794,332,3126,5481574,701127,6182701
HAMILTON ISLAND,2025,11,2025-11-01,41981,0,41981,298,0,298,495420,0,495420
HOBART,2025,11,2025-11-01,247576,3731,251307,1705,24,1729,2845761,20066,2865827
KARRATHA,2025,11,2025-11-01,59683,0,59683,534,0,534,686973,0,686973
LAUNCESTON,2025,11,2025-11-01,125597,0,125597,1194,0,1194,1457346,0,1457346
MACKAY,2025,11,2025-11-01,79491,0,79491,932,0,932,925157,0,925157
MELBOURNE,2025,11,2025-11-01,2128607,1013979,3142586,15185,4796,19981,24325157,12195141,36520298
NEWCASTLE,2025,11,2025-11-01,105970,4731,110701,1053,24,1077,1205688,6467,1212155
PERTH,2025,11,2025-11-01,788134,443958,1232092,6327,2165,8492,9192262,5357939,14550201
PROSERPINE,2025,11,2025-11-01,50298,0,50298,309,0,309,543486,0,543486
ROCKHAMPTON,2025,11,2025-11-01,54871,0,54871,767,0,767,645014,0,645014
SUNSHINE COAST,2025,11,2025-11-01,147850,3867,151717,922,26,948,1673838,54498,1728336
SYDNEY,2025,11,2025-11-01,2206344,1438229,3644573,17650,6869,24519,25247197,17172199,42419396
TOWNSVILLE,2025,11,2025-11-01,137545,0,137545,1936,0,1936,1659394,0,1659394
