date,year,month,origin_code,destination_code,route,passengers,trips,load_factor_pct,distance_km,rpks,asks,available_seats,moving_annual_passengers,moving_annual_trips,moving_annual_load_factor_pct,moving_annual_rpks,moving_annual_asks,moving_annual_available_seats
2014-07-01,2014,7,ABX,SYD,Albury - Sydney,19747,589,65.808,452,8925644,13563164,30007,229468,6600,68.589,103719536,151219764,334557
2014-08-01,2014,8,ABX,SYD,Albury - Sydney,21085,573,69.183,452,9530420,13775604,30477,229262,6581,68.369,103626424,151569612,335331
2014-09-01,2014,9,ABX,SYD,Albury - Sydney,20138,536,67.487,452,9102376,13487680,29840,228841,6553,67.895,103436132,152347956,337053
2014-10-01,2014,10,ABX,SYD,Albury - Sydney,20620,545,67.907,452,9320240,13724980,30365,228101,6520,67.367,103101652,153045392,338596
2014-11-01,2014,11,ABX,SYD,Albury - Sydney,19516,508,69.166,452,8821232,12753632,28216,227120,6464,67.097,102658240,153000644,338497
2014-12-01,2014,12,ABX,SYD,Albury - Sydney,17347,479,63.259,452,7840844,12394744,27422,225418,6405,66.622,101888936,152936460,338355
2015-01-01,2015,1,ABX,SYD,Albury - Sydney,15445,406,63.685,452,6981140,10961904,24252,224492,6360,66.304,101470384,153038612,338581
2015-02-01,2015,2,ABX,SYD,Albury - Sydney,15343,456,59.157,452,6935036,11723072,25936,223559,6331,65.811,101048668,153543044,339697
2015-03-01,2015,3,ABX,SYD,Albury - Sydney,19496,532,65.865,452,8812192,13379200,29600,223244,6284,65.613,100906288,153789836,340243
2015-04-01,2015,4,ABX,SYD,Albury - Sydney,17562,478,64.979,452,7938024,12216204,27027,222137,6224,65.359,100405924,153623048,339874
2015-05-01,2015,5,ABX,SYD,Albury - Sydney,18207,529,62.649,452,8229564,13136024,29062,222043,6179,65.289,100363436,153721584,340092
2015-06-01,2015,6,ABX,SYD,Albury - Sydney,17267,500,62.869,452,7804684,12414180,27465,221773,6131,65.291,100241396,153530388,339669
